season,date,league_id,league,Team 1,Team2,SPI1,SPI2,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2,Outcome
2019,20/04/19,1979,Chinese Super League,Guizhou Renhe,Shenzhen FC,35.61,33.16,1.38,0.85,44.2,36.5,2.0,2.0,1.32,1.17,1.35,0.99,2.1,2.1,1
2019,20/04/19,1979,Chinese Super League,Henan Jianye,Tianjin Teda,35.28,38.14,1.48,1.12,42.6,21.5,2.0,3.0,1.53,1.54,1.48,1.38,2.1,3.15,1
2019,20/04/19,1979,Chinese Super League,Hebei China Fortune FC,Beijing Guoan,40.5,58.36,1.2,1.76,23.1,64.2,0.0,1.0,1.35,1.49,2.09,0.98,0.0,1.05,0
2019,21/04/19,1979,Chinese Super League,Dalian Aerbin,Chongqing Lifan,44.88,36.2,1.72,0.94,20.7,18.3,1.0,1.0,1.59,1.71,1.29,0.88,1.05,1.05,1
2019,21/04/19,1979,Chinese Super League,Jiangsu Suning FC,Guangzhou RF,51.85,40.81,2.13,1.04,52.7,19.2,5.0,1.0,1.16,0.67,1.75,0.6,4.78,1.05,1
2019,21/04/19,1979,Chinese Super League,Wuhan Zall,Shanghai Greenland,33.0,41.37,1.41,1.3,41.6,19.5,1.0,1.0,1.03,1.28,0.82,1.37,1.05,1.05,1
2019,26/04/19,1979,Chinese Super League,Guangzhou RF,Shenzhen FC,39.95,33.6,1.85,1.18,30.1,34.2,3.0,1.0,0.58,1.6,1.47,1.64,2.63,1.05,1
2019,27/04/19,1979,Chinese Super League,Hebei China Fortune FC,Guizhou Renhe,40.74,35.22,1.53,0.93,32.5,38.7,1.0,1.0,1.44,0.35,4.16,0.2,0.84,1.05,1
2019,27/04/19,1979,Chinese Super League,Henan Jianye,Jiangsu Suning FC,34.71,52.7,1.09,1.54,41.4,64.0,2.0,1.0,1.0,1.21,0.62,1.81,2.1,1.05,0
2019,27/04/19,1979,Chinese Super League,Shanghai Greenland,Tianjin Quanujian,41.74,36.18,1.6,1.05,22.6,41.7,2.0,3.0,1.29,0.5,1.55,0.76,2.1,2.52,1
2019,28/04/19,1979,Chinese Super League,Tianjin Teda,Shanghai SIPG,38.83,58.01,1.22,1.85,28.2,66.9,0.0,2.0,0.71,2.03,1.18,1.79,0.0,1.58,0
2019,28/04/19,1979,Chinese Super League,Chongqing Lifan,Guangzhou Evergrande,36.95,63.34,0.99,1.95,20.7,71.4,0.0,1.0,0.53,2.38,0.73,1.47,0.0,1.05,0
2019,28/04/19,1979,Chinese Super League,Shandong Luneng,Wuhan Zall,50.27,32.62,1.92,0.77,35.7,38.9,3.0,0.0,1.18,1.18,0.97,0.55,2.63,0.0,1
2019,28/04/19,1979,Chinese Super League,Beijing Guoan,Dalian Aerbin,58.0,44.08,2.04,0.83,74.1,20.5,4.0,1.0,3.03,0.75,1.27,1.2,4.2,1.05,1
2019,04/05/19,1979,Chinese Super League,Wuhan Zall,Tianjin Teda,32.64,37.91,1.42,1.12,49.4,17.6,1.0,1.0,1.09,0.43,0.91,0.62,1.05,1.05,1
2019,04/05/19,1979,Chinese Super League,Shanghai SIPG,Guangzhou RF,58.82,39.35,2.51,0.94,62.4,17.1,2.0,0.0,1.83,0.36,1.09,0.81,2.0,0.0,1
2019,04/05/19,1979,Chinese Super League,Guangzhou Evergrande,Beijing Guoan,63.98,58.88,1.81,1.16,100.0,100.0,0.0,1.0,1.37,1.08,2.49,1.16,0.0,1.05,1
2019,04/05/19,1979,Chinese Super League,Shandong Luneng,Hebei China Fortune FC,50.18,41.94,1.82,1.01,38.0,24.6,2.0,0.0,2.53,0.74,1.92,1.33,2.1,0.0,1
2019,05/05/19,1979,Chinese Super League,Guizhou Renhe,Henan Jianye,34.13,34.99,1.39,0.99,49.3,40.9,1.0,2.0,1.99,1.21,1.41,1.05,1.05,2.1,1
2019,05/05/19,1979,Chinese Super League,Jiangsu Suning FC,Dalian Aerbin,52.4,43.39,1.82,0.9,50.2,16.9,1.0,1.0,0.94,1.42,1.07,0.82,1.05,1.05,1
2019,05/05/19,1979,Chinese Super League,Shenzhen FC,Shanghai Greenland,34.14,41.45,1.43,1.28,40.5,24.3,2.0,1.0,2.66,1.73,2.37,0.82,2.1,1.05,1
2019,05/05/19,1979,Chinese Super League,Tianjin Quanujian,Chongqing Lifan,36.47,36.11,1.44,0.95,36.9,17.8,3.0,3.0,1.67,3.16,0.99,2.13,3.15,3.15,1
2019,10/05/19,1979,Chinese Super League,Tianjin Teda,Shanghai Greenland,37.76,40.17,1.6,1.34,18.6,28.4,1.0,1.0,1.06,0.38,0.89,0.43,1.05,1.05,1
2019,11/05/19,1979,Chinese Super League,Dalian Aerbin,Wuhan Zall,44.3,32.72,1.64,0.84,20.6,41.9,1.0,2.0,1.4,1.16,1.55,0.58,1.05,2.1,1
2019,11/05/19,1979,Chinese Super League,Chongqing Lifan,Guizhou Renhe,37.72,33.77,1.48,1.01,22.3,46.2,2.0,0.0,1.03,0.71,1.41,0.6,1.73,0.0,1
2019,11/05/19,1979,Chinese Super League,Hebei China Fortune FC,Henan Jianye,41.12,35.4,1.65,1.0,32.2,32.0,2.0,3.0,0.92,1.78,1.86,0.95,2.1,3.15,1
2019,12/05/19,1979,Chinese Super League,Tianjin Quanujian,Guangzhou RF,35.09,39.13,1.68,1.39,43.6,25.9,1.0,2.0,0.64,1.1,1.71,1.43,1.05,2.1,1
2019,12/05/19,1979,Chinese Super League,Guangzhou Evergrande,Jiangsu Suning FC,63.45,51.4,1.82,0.9,70.7,67.5,2.0,2.0,2.45,1.62,1.84,1.27,2.1,2.1,1
2019,12/05/19,1979,Chinese Super League,Shanghai SIPG,Shandong Luneng,58.81,51.01,1.84,1.04,78.6,66.4,2.0,1.0,2.58,0.9,1.69,1.78,2.1,1.05,1
2019,12/05/19,1979,Chinese Super League,Beijing Guoan,Shenzhen FC,59.26,35.41,2.26,0.59,86.1,24.2,3.0,0.0,2.79,0.05,1.73,0.15,3.15,0.0,1
2019,17/05/19,1979,Chinese Super League,Henan Jianye,Shanghai SIPG,36.58,58.97,1.08,1.82,18.4,55.2,0.0,1.0,0.37,1.09,1.64,0.85,0.0,1.05,0
2019,17/05/19,1979,Chinese Super League,Wuhan Zall,Guangzhou Evergrande,33.66,62.99,0.91,1.86,31.7,58.6,2.0,3.0,2.7,2.1,1.54,1.8,2.1,2.85,0
2019,17/05/19,1979,Chinese Super League,Beijing Guoan,Tianjin Quanujian,60.51,34.44,2.41,0.48,90.0,39.8,2.0,1.0,1.7,0.69,2.46,0.33,2.07,1.05,1
2019,17/05/19,1979,Chinese Super League,Shanghai Greenland,Shandong Luneng,40.05,50.96,1.44,1.56,29.4,34.8,1.0,3.0,1.26,1.59,2.23,2.88,1.05,3.03,0
2019,18/05/19,1979,Chinese Super League,Guangzhou RF,Guizhou Renhe,39.8,33.29,1.71,1.14,19.4,49.1,3.0,1.0,1.92,0.57,1.76,1.14,3.1,1.05,1
2019,18/05/19,1979,Chinese Super League,Jiangsu Suning FC,Chongqing Lifan,52.21,38.18,1.89,0.79,41.2,16.4,3.0,1.0,2.07,1.05,1.8,1.04,2.1,1.05,1
2019,19/05/19,1979,Chinese Super League,Tianjin Teda,Hebei China Fortune FC,37.76,39.99,1.48,1.24,18.6,34.4,2.0,0.0,1.07,0.56,0.85,0.79,1.96,0.0,1
2019,19/05/19,1979,Chinese Super League,Shenzhen FC,Dalian Aerbin,34.16,43.27,1.34,1.28,34.1,21.0,1.0,2.0,0.68,1.66,1.35,1.2,1.05,2.1,1
2019,24/05/19,1979,Chinese Super League,Chongqing Lifan,Henan Jianye,38.33,36.49,1.53,1.08,13.0,19.5,0.0,0.0,1.1,0.21,1.1,0.91,0.0,0.0,1
2019,25/05/19,1979,Chinese Super League,Guizhou Renhe,Tianjin Teda,32.66,38.29,1.36,1.03,53.3,9.6,2.0,1.0,1.35,2.13,0.69,1.25,1.89,1.05,1
2019,25/05/19,1979,Chinese Super League,Hebei China Fortune FC,Jiangsu Suning FC,39.35,52.11,1.29,1.46,42.6,45.7,3.0,2.0,1.98,1.52,1.66,1.83,3.15,2.1,0
2019,25/05/19,1979,Chinese Super League,Wuhan Zall,Tianjin Quanujian,35.1,34.58,1.43,1.03,40.7,46.0,2.0,1.0,,,,,,,1
2019,26/05/19,1979,Chinese Super League,Dalian Aerbin,Shanghai Greenland,44.02,39.28,1.75,1.18,18.5,34.9,1.0,0.0,0.8,0.6,0.86,1.23,1.05,0.0,1
2019,26/05/19,1979,Chinese Super League,Guangzhou Evergrande,Shenzhen FC,61.83,33.47,2.47,0.51,59.9,33.6,1.0,0.0,1.09,0.44,1.26,0.97,1.05,0.0,1
2019,26/05/19,1979,Chinese Super League,Shandong Luneng,Guangzhou RF,51.89,40.53,2.21,1.13,42.6,13.3,3.0,1.0,1.69,0.44,2.74,0.85,3.15,1.05,1
2019,26/05/19,1979,Chinese Super League,Shanghai SIPG,Beijing Guoan,58.84,60.35,1.58,1.24,100.0,100.0,2.0,1.0,1.12,1.14,1.35,2.36,2.1,1.05,1
2019,01/06/19,1979,Chinese Super League,Wuhan Zall,Shenzhen FC,35.77,34.06,1.42,0.97,35.0,40.7,2.0,0.0,1.29,1.09,0.91,1.02,1.58,0.0,1
2019,01/06/19,1979,Chinese Super League,Shandong Luneng,Jiangsu Suning FC,52.68,51.35,1.7,1.22,59.6,50.1,1.0,1.0,1.0,0.25,1.2,0.65,1.05,1.05,1
2019,01/06/19,1979,Chinese Super League,Guangzhou RF,Hebei China Fortune FC,39.73,40.33,1.75,1.46,15.6,33.4,2.0,2.0,1.09,0.92,2.58,1.6,2.1,2.1,1
2019,01/06/19,1979,Chinese Super League,Shanghai Greenland,Chongqing Lifan,39.49,38.16,1.64,1.08,42.2,12.0,0.0,0.0,0.7,0.12,1.06,0.31,0.0,0.0,1
2019,01/06/19,1979,Chinese Super League,Guizhou Renhe,Tianjin Quanujian,32.33,33.95,1.39,1.05,61.9,59.3,2.0,0.0,1.65,2.39,1.4,2.31,2.1,0.0,1
2019,02/06/19,1979,Chinese Super League,Dalian Aerbin,Shanghai SIPG,43.63,58.51,1.14,1.62,10.5,71.6,1.0,2.0,0.29,1.34,1.05,1.52,1.05,2.1,0
2019,02/06/19,1979,Chinese Super League,Henan Jianye,Guangzhou Evergrande,36.51,60.98,1.03,1.83,20.3,56.3,2.0,5.0,0.75,1.54,1.89,1.83,2.1,4.76,0
2019,02/06/19,1979,Chinese Super League,Tianjin Teda,Beijing Guoan,38.67,60.74,1.0,1.85,11.2,86.6,1.0,2.0,1.11,1.41,1.32,2.03,1.05,2.1,0
2019,08/06/19,1979,Chinese Super League,Wuhan Zall,Henan Jianye,35.86,36.47,1.42,1.05,24.4,24.7,0.0,0.0,0.32,0.16,1.45,1.03,0.0,0.0,1
2019,14/06/19,1979,Chinese Super League,Beijing Guoan,Shanghai Greenland,60.86,39.41,2.25,0.69,94.0,40.8,2.0,1.0,1.47,0.66,0.71,1.15,2.1,1.05,1
2019,14/06/19,1979,Chinese Super League,Chongqing Lifan,Shandong Luneng,38.03,52.55,1.17,1.47,11.2,38.2,1.0,1.0,1.19,1.5,1.21,1.0,1.05,1.05,0
2019,14/06/19,1979,Chinese Super League,Shanghai SIPG,Guangzhou Evergrande,59.22,61.29,1.68,1.28,90.8,75.5,0.0,2.0,0.9,0.59,1.35,0.51,0.0,1.58,1
2019,15/06/19,1979,Chinese Super League,Guangzhou RF,Wuhan Zall,39.77,35.58,1.71,1.16,14.7,21.2,3.0,4.0,3.57,2.21,2.09,1.55,3.15,4.2,1
2019,15/06/19,1979,Chinese Super League,Hebei China Fortune FC,Dalian Aerbin,40.31,42.83,1.56,1.19,37.8,13.9,1.0,0.0,1.15,0.31,1.74,0.72,1.05,0.0,1
2019,16/06/19,1979,Chinese Super League,Shenzhen FC,Tianjin Teda,33.94,38.58,1.37,1.07,42.5,16.9,0.0,0.0,0.79,1.28,1.09,1.24,0.0,0.0,1
2019,16/06/19,1979,Chinese Super League,Tianjin Quanujian,Henan Jianye,34.17,36.62,1.47,1.06,60.0,29.0,1.0,1.0,1.51,1.07,1.0,0.7,1.05,1.05,1
2019,16/06/19,1979,Chinese Super League,Jiangsu Suning FC,Guizhou Renhe,51.23,32.17,1.88,0.75,24.6,47.0,4.0,1.0,1.86,0.86,2.13,0.65,3.15,1.05,1
2019,21/06/19,1979,Chinese Super League,Jiangsu Suning FC,Shanghai Greenland,51.52,40.24,1.81,0.96,28.1,40.0,0.0,1.0,0.97,0.87,1.68,0.49,0.0,1.05,1
2019,22/06/19,1979,Chinese Super League,Beijing Guoan,Guangzhou RF,59.95,39.43,2.63,0.88,80.1,15.4,3.0,2.0,1.13,2.61,2.99,1.23,2.94,2.1,1
2019,22/06/19,1979,Chinese Super League,Tianjin Teda,Shandong Luneng,39.09,52.37,1.23,1.47,12.9,34.9,2.0,1.0,0.9,0.86,0.64,1.48,2.1,1.05,0
2019,22/06/19,1979,Chinese Super League,Henan Jianye,Shenzhen FC,36.66,33.37,1.38,0.89,36.2,49.0,1.0,0.0,0.98,0.05,1.19,0.44,1.05,0.0,1
2019,22/06/19,1979,Chinese Super League,Shanghai SIPG,Guizhou Renhe,58.49,31.98,2.19,0.49,53.5,51.3,3.0,0.0,0.96,0.48,1.95,0.51,3.15,0.0,1
2019,22/06/19,1979,Chinese Super League,Guangzhou Evergrande,Hebei China Fortune FC,61.64,41.0,2.26,0.77,63.3,22.4,2.0,1.0,1.82,1.21,1.54,2.26,2.1,1.05,1
2019,23/06/19,1979,Chinese Super League,Dalian Aerbin,Tianjin Quanujian,42.0,34.1,1.6,0.98,26.6,60.4,2.0,2.0,2.23,0.69,1.6,0.91,2.1,2.1,1
2019,23/06/19,1979,Chinese Super League,Wuhan Zall,Chongqing Lifan,36.09,38.15,1.36,1.03,16.1,10.4,2.0,3.0,0.82,1.17,1.23,0.77,2.1,2.63,1
2019,29/06/19,1979,Chinese Super League,Chongqing Lifan,Tianjin Teda,38.69,39.29,1.38,1.01,5.3,5.1,1.0,0.0,0.7,0.85,0.96,1.54,1.05,0.0,1
2019,29/06/19,1979,Chinese Super League,Hebei China Fortune FC,Wuhan Zall,42.23,35.6,1.72,0.98,31.6,18.6,0.0,2.0,0.71,1.73,2.68,0.92,0.0,2.1,1
2019,29/06/19,1979,Chinese Super League,Guizhou Renhe,Dalian Aerbin,31.67,41.97,1.29,1.2,58.7,24.5,1.0,3.0,1.47,2.94,0.95,2.6,1.05,3.15,1
2019,29/06/19,1979,Chinese Super League,Guangzhou RF,Henan Jianye,40.8,37.12,1.8,1.25,19.8,15.8,2.0,0.0,1.78,0.24,1.24,0.68,2.1,0.0,1
2019,30/06/19,1979,Chinese Super League,Tianjin Quanujian,Jiangsu Suning FC,34.19,50.61,1.28,1.48,51.5,16.2,2.0,2.0,1.06,1.77,0.61,1.4,2.1,2.1,0
2019,30/06/19,1979,Chinese Super League,Shenzhen FC,Shanghai SIPG,32.83,58.76,0.91,1.57,51.5,56.9,0.0,1.0,0.76,1.86,1.22,0.9,0.0,1.05,0
2019,30/06/19,1979,Chinese Super League,Shandong Luneng,Beijing Guoan,52.1,58.81,1.4,1.52,26.8,87.3,2.0,0.0,0.98,2.01,0.56,1.79,2.1,0.0,0
2019,01/07/19,1979,Chinese Super League,Shanghai Greenland,Guangzhou Evergrande,40.95,60.52,1.17,1.77,26.1,64.8,0.0,3.0,0.66,1.49,0.95,0.92,0.0,3.15,0
2019,05/07/19,1979,Chinese Super League,Tianjin Quanujian,Guangzhou Evergrande,34.06,61.51,1.06,2.01,53.9,77.6,1.0,3.0,0.81,3.05,0.85,1.52,1.05,2.63,0
2019,06/07/19,1979,Chinese Super League,Guangzhou RF,Chongqing Lifan,41.74,38.32,1.78,1.24,8.5,2.2,4.0,2.0,3.04,1.94,1.68,1.49,3.68,2.1,1
2019,06/07/19,1979,Chinese Super League,Beijing Guoan,Wuhan Zall,58.96,36.86,2.27,0.59,89.5,4.2,3.0,0.0,2.45,0.43,2.24,0.8,3.02,0.0,1
2019,06/07/19,1979,Chinese Super League,Shanghai SIPG,Shanghai Greenland,58.83,39.82,1.96,0.64,59.0,27.5,3.0,1.0,2.63,1.21,1.29,0.78,3.15,1.05,1
2019,07/07/19,1979,Chinese Super League,Tianjin Teda,Jiangsu Suning FC,39.57,50.79,1.25,1.31,6.5,6.6,2.0,1.0,0.36,0.81,0.72,1.22,2.1,1.05,0
2019,07/07/19,1979,Chinese Super League,Dalian Aerbin,Henan Jianye,43.89,36.18,1.55,0.87,9.4,15.3,3.0,1.0,2.57,2.06,1.71,2.12,3.15,1.05,1
2019,07/07/19,1979,Chinese Super League,Hebei China Fortune FC,Shenzhen FC,40.92,32.66,1.56,0.87,46.7,59.3,1.0,1.0,2.32,0.33,2.05,0.76,1.05,1.05,1
2019,07/07/19,1979,Chinese Super League,Guizhou Renhe,Shandong Luneng,30.08,51.84,1.18,1.59,55.7,12.6,0.0,2.0,0.65,1.38,0.9,1.19,0.0,1.66,0
2019,10/07/19,1979,Chinese Super League,Beijing Guoan,Chongqing Lifan,59.85,38.02,2.22,0.55,91.6,1.4,4.0,1.0,2.54,1.07,1.59,0.73,4.2,1.05,1
2019,11/07/19,1979,Chinese Super League,Tianjin Teda,Guangzhou Evergrande,39.58,62.17,0.96,1.82,1.8,83.3,0.0,3.0,1.48,1.29,2.16,1.53,0.0,2.63,0
2019,12/07/19,1979,Chinese Super League,Dalian Aerbin,Guangzhou RF,43.88,42.24,1.99,1.47,3.7,2.5,3.0,2.0,2.07,1.4,1.55,0.8,3.15,2.1,1
2019,12/07/19,1979,Chinese Super League,Hebei China Fortune FC,Shanghai Greenland,41.36,39.89,1.6,1.13,42.3,37.3,2.0,1.0,0.9,0.33,1.36,1.33,2.1,1.05,1
2019,12/07/19,1979,Chinese Super League,Henan Jianye,Shandong Luneng,36.41,52.39,1.16,1.4,19.3,16.6,3.0,2.0,1.63,1.14,0.9,2.78,3.08,2.1,0
2019,13/07/19,1979,Chinese Super League,Guizhou Renhe,Wuhan Zall,29.49,35.99,1.38,1.11,53.1,8.3,0.0,2.0,0.21,1.78,0.71,1.39,0.0,1.43,1
2019,13/07/19,1979,Chinese Super League,Tianjin Quanujian,Shenzhen FC,33.44,32.27,1.4,0.97,66.0,67.1,2.0,2.0,1.28,1.03,1.81,1.02,2.1,2.1,1
2019,13/07/19,1979,Chinese Super League,Jiangsu Suning FC,Shanghai SIPG,50.69,58.92,1.24,1.4,5.9,59.1,0.0,3.0,1.28,1.43,1.01,1.17,0.0,2.73,0
2019,16/07/19,1979,Chinese Super League,Guangzhou RF,Tianjin Teda,40.36,37.83,1.74,1.28,4.8,2.5,2.0,1.0,2.22,0.76,1.61,0.83,2.1,1.05,1
2019,16/07/19,1979,Chinese Super League,Shanghai Greenland,Henan Jianye,38.01,35.14,1.52,0.88,42.8,7.8,3.0,2.0,3.16,1.99,1.38,1.9,2.73,2.1,1
2019,16/07/19,1979,Chinese Super League,Guangzhou Evergrande,Dalian Aerbin,60.58,42.45,2.22,0.72,83.1,0.8,4.0,1.0,1.72,1.24,2.63,1.45,3.15,1.05,1
2019,17/07/19,1979,Chinese Super League,Wuhan Zall,Jiangsu Suning FC,35.84,47.61,1.18,1.28,1.6,0.7,1.0,1.0,0.81,0.32,1.37,1.06,0.84,1.05,0
2019,17/07/19,1979,Chinese Super League,Shandong Luneng,Tianjin Quanujian,50.39,31.69,1.91,0.88,5.0,53.8,2.0,1.0,1.92,1.8,2.12,1.88,2.1,1.05,1
